Frame,SSIM,PSNR
0,1.000000,100.00
1,1.000000,100.00
2,1.000000,100.00
3,1.000000,100.00
4,1.000000,100.00
5,1.000000,100.00
6,1.000000,100.00
7,1.000000,100.00
8,1.000000,100.00
9,1.000000,100.00
10,1.000000,100.00
11,1.000000,100.00
12,1.000000,100.00
13,1.000000,100.00
14,1.000000,100.00
15,1.000000,100.00
16,1.000000,100.00
17,1.000000,100.00
18,1.000000,100.00
19,1.000000,100.00
20,1.000000,100.00
21,1.000000,100.00
22,1.000000,100.00
23,1.000000,100.00
24,1.000000,100.00
25,1.000000,100.00
26,1.000000,100.00
27,1.000000,100.00
28,1.000000,100.00
29,1.000000,100.00
30,1.000000,100.00
31,1.000000,100.00
32,1.000000,100.00
33,1.000000,100.00
34,1.000000,100.00
35,1.000000,100.00
36,1.000000,100.00
37,1.000000,100.00
38,1.000000,100.00
39,1.000000,100.00
40,1.000000,100.00
41,1.000000,100.00
42,1.000000,100.00
43,1.000000,100.00
44,1.000000,100.00
45,1.000000,100.00
46,1.000000,100.00
47,1.000000,100.00
48,1.000000,100.00
49,1.000000,100.00
50,1.000000,100.00
51,1.000000,100.00
52,1.000000,100.00
53,1.000000,100.00
54,1.000000,100.00
55,1.000000,100.00
56,1.000000,100.00
57,1.000000,100.00
58,1.000000,100.00
59,1.000000,100.00
60,1.000000,100.00
